danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,genre
0.171,0.037,3,-25.191,1,0.0409,0.991,0.898,0.123,0.037,67.89,330000,classical
0.225,0.0047,1,-30.928,0,0.0509,0.992,0.881,0.0722,0.186,163.665,259493,classical
0.322,0.14,4,-20.747,1,0.0489,0.906,0.759,0.125,0.285,92.122,425000,classical
0.212,0.301,2,-12.505,1,0.0384,0.963,0.0033,0.13,0.0798,84.025,177333,classical
0.436,0.151,11,-20.745,0,0.0603,0.955,0.793,0.11,0.359,103.777,153267,classical
0.465,0.128,9,-17.628,0,0.0519,0.978,0.271,0.0423,0.428,111.471,268853,classical
0.37,0.0076,4,-33.663,1,0.0384,0.995,0.91,0.0864,0.278,62.668,176518,classical
0.31,0.0555,7,-25.695,1,0.0395,0.994,0.906,0.121,0.566,70.515,140040,classical
0.224,0.0291,7,-26.167,1,0.0455,0.959,0.845,0.11,0.0538,120.946,1215573,classical
0.101,0.0241,11,-30.172,0,0.0485,0.947,0.847,0.0693,0.0329,87.14,208587,classical
0.296,0.00896,7,-31.948,0,0.0394,0.994,0.91,0.0815,0.0673,69.44,257000,classical
0.212,0.0517,2,-24.467,1,0.0525,0.928,0.639,0.112,0.152,185.678,397640,classical
0.116,0.0694,0,-23.624,1,0.0497,0.969,0.644,0.109,0.0377,169.789,195333,classical
